No.,Sentence,StemWords,MatchWords,Use
478,Soc.,['soc'],set(),N
479,Amer.,['amer'],set(),N
480,[Online].,['onlin'],set(),N
481,"Available: http://www.oe.energy.gov/DocumentsandMedia/Cyber_ Assessment_Methods_for_SCADA_Security_Mays_ISA_Paper.pdf  [6] R. E. Carlson, J. E. Dagle, S. A. Shamsuddin, and R. P. Evans, A Summary of Control System Security Standards Activities in the Energy Sector, DC: U.S. Dept.","['avail', 'http', 'carlson', 'dagl', 'shamsuddin', 'evan', 'summari', 'control', 'system', 'secur', 'standard', 'activ', 'energi', 'sector', 'dc', 'dept']","{'secur', 'control', 'standard'}",Y
482,"Energy, Of?ce Electricity Delivery Energy Reliab., Nat.","['energi', 'ce', 'electr', 'deliveri', 'energi', 'nat']",set(),N
483,"SCADA Test Bed (NSTB), Oct. 2005.","['scada', 'test', 'bed', 'nstb']",set(),N
484,[Online].,['onlin'],set(),N
485,"Available: http://www.oe.energy.gov/DocumentsandMedia/Control_ System_Security_Standards_Activities.pdf  [7] Information Security: Technologies to Secure Federal Systems, Mar.","['avail', 'http', 'inform', 'secur', 'technolog', 'secur', 'feder', 'system', 'mar']","{'secur', 'inform', 'technolog'}",Y
486,"2004, Report to Congressional Requesters, GAO-04-467.","['report', 'congression', 'request']",set(),N
487,[Online].,['onlin'],set(),N
488,"Available: http://www.gao.gov/new.items/d04467.pdf  [8] M. Amin, ìSecurity challenges for  the electricity infrastructure,î  Computer, vol.","['avail', 'http', 'amin', 'secur', 'challeng', 'electr', 'infrastructur', 'comput', 'vol']",{'secur'},Y
489,"35, no.",[],set(),N
490,"4, pp.",['pp'],set(),N
491,"8ñ10, Apr.",['apr'],set(),N
492,2002.,[],set(),N
493,"[9] J. D. McDonald, Power Substations Engineering, 2nd ed.","['mcdonald', 'power', 'substat', 'engin', 'ed']",set(),N
494,"Boca Raton,  FL: CRC Press, May 30, 2007.","['boca', 'raton', 'fl', 'crc', 'press', 'may']",set(),N
495,"[10] J. Salmeron, K. Wood, and R. Baldick, ìAnalysis of electric grid security under terrorist threat,î IEEE Trans.","['salmeron', 'wood', 'baldick', 'analysi', 'electr', 'grid', 'secur', 'terrorist', 'threat', 'ieee', 'tran']",{'secur'},Y
496,"Power Syst., vol.","['power', 'vol']",set(),N
497,"19, no.",[],set(),N
498,"2, pp.",['pp'],set(),N
499,"905ñ 912, May 2004.",['may'],set(),N
500,"[11] R. A. Leon, V. Vittal, and G. Manimaran, ìApplication of sensor network for secure electric energy infrastructure,î IEEE Trans.","['leon', 'vittal', 'manimaran', 'applic', 'sensor', 'network', 'secur', 'electr', 'energi', 'infrastructur', 'ieee', 'tran']","{'secur', 'network'}",Y
501,"Power Del., vol.","['power', 'vol']",set(),N
502,"22, no.",[],set(),N
503,"2, pp.",['pp'],set(),N
504,"1021ñ1028, Apr.",['apr'],set(),N
505,2007.,[],set(),N
506,"[12] A. G. Bruce and R. Lee, ìA framework for the speci?cation of SCADA data links,î IEEE Trans.","['bruce', 'lee', 'framework', 'speci', 'cation', 'scada', 'data', 'link', 'ieee', 'tran']",set(),N
507,"Power Syst., vol.","['power', 'vol']",set(),N
508,"9, no.",[],set(),N
509,"1, pp.",['pp'],set(),N
510,"560ñ564, Feb. 1994.",[],set(),N
511,"[13] R. L. Krutz, Securing SCADA Systems, 1st ed.","['krutz', 'secur', 'scada', 'system', 'ed']",{'secur'},Y
512,"Hoboken, NJ: Wiley,  Nov. 28, 2005.","['hoboken', 'nj', 'wiley']",set(),N
513,"[14] Q. Liu, J.-N. Hwang, and C.-C. Liu, ìCommunication infrastructure for wide area protection of power systems,î in Proc.","['liu', 'hwang', 'liu', 'commun', 'infrastructur', 'wide', 'area', 'protect', 'power', 'system', 'proc']",set(),N
514,Power Syst.,"['power', 'syst']",set(),N
515,Commun.,['commun'],set(),N
516,"Infrastructures Future, Beijing, China, Sep. 2002.","['infrastructur', 'futur', 'beij', 'china']",set(),N
517,"[15] C.-L. Su, C.-N. Lu, and T.-Y.","['su', 'lu']",set(),N
518,"Hsiao, ìSimulation study of Internet based inter control center data exchange for complete network modeling,î IEEE Trans.","['hsiao', 'simul', 'studi', 'internet', 'base', 'inter', 'control', 'center', 'data', 'exchang', 'complet', 'network', 'model', 'ieee', 'tran']","{'internet', 'control', 'network'}",Y
519,"Power Syst., vol.","['power', 'vol']",set(),N
520,"17, no.",[],set(),N
521,"4, pp.",['pp'],set(),N
522,"1177ñ1183, Nov. 2002.",[],set(),N
523,"[16] K. Schneider, C.-C. Liu, and J.-P. Paul, ìAssessment of interactions between power and telecommunications infrastructures,î IEEE Trans.","['schneider', 'liu', 'paul', 'assess', 'interact', 'power', 'telecommun', 'infrastructur', 'ieee', 'tran']",set(),N
524,"Power Syst., vol.","['power', 'vol']",set(),N
525,"21, no.",[],set(),N
526,"3, pp.",['pp'],set(),N
527,"1123ñ1130, Aug. 2006.",[],set(),N
528,"[17] T. Mander, F. Nabhani, L. Wang, and R. Cheung, ìData object based security for DNP3 over TCP/IP for increased utility commercial aspects security,î in Proc.","['mander', 'nabhani', 'wang', 'cheung', 'data', 'object', 'base', 'secur', 'increas', 'util', 'commerci', 'aspect', 'secur', 'proc']",{'secur'},Y
529,IEEE Power Eng.,"['ieee', 'power', 'eng']",set(),N
530,Soc.,['soc'],set(),N
531,"Gen. Meeting, Jun.","['meet', 'jun']",set(),N
532,"24ñ28, 2007, pp.",['pp'],set(),N
533,1ñ8.,[],set(),N
534,"[18] M. Adamiak and W. Premerlani, ìThe role of utility communications in a deregulated environment,î in Proc.","['adamiak', 'premerlani', 'role', 'util', 'commun', 'deregul', 'environ', 'proc']",set(),N
535,"32nd HICSS, 1999, vol.","['hicss', 'vol']",set(),N
536,"Track3, p. 3026.",[],set(),N
537,"[19] M. Amin and B. F. Wollenberg, ìToward a smart grid: Power delivery for the 21st century,î IEEE Power Energy Mag., vol.","['amin', 'wollenberg', 'toward', 'smart', 'grid', 'power', 'deliveri', 'centuri', 'ieee', 'power', 'energi', 'vol']",set(),N
538,"3, no.",[],set(),N
539,"5, pp.",['pp'],set(),N
540,"34ñ41, Sep./Oct.",[],set(),N
541,2005.,[],set(),N
542,"[20] F. F. Wu, K. Moslehi, and A. Bose, ìPower system control centers: Past, present, and future,î Proc.","['wu', 'moslehi', 'bose', 'power', 'system', 'control', 'center', 'past', 'present', 'futur', 'proc']",{'control'},Y
543,"IEEE, vol.","['ieee', 'vol']",set(),N
544,"93, no.",[],set(),N
545,"11, pp.",['pp'],set(),N
546,"1890ñ1908, Nov. 2005.",[],set(),N
547,"[21] Vulnerability Assessment Methodology for Electric Power Infrastructure, U.S. Dept.","['vulner', 'assess', 'methodolog', 'electr', 'power', 'infrastructur', 'dept']",set(),N
548,"Energy, Of?ce Energy Assurance, Washington DC, Sep. 30, 2002.","['energi', 'ce', 'energi', 'assur', 'washington', 'dc']",set(),N
549,[22] C.-W.,[],set(),N
550,"Ten, C.-C. Liu, and G. Manimaran, ìVulnerability assessment of cybersecurity for SCADA systems using attack trees,î in Proc.","['ten', 'liu', 'manimaran', 'vulner', 'assess', 'cybersecur', 'scada', 'system', 'use', 'attack', 'tree', 'proc']",{'cybersecur'},Y
551,IEEE Power Eng.,"['ieee', 'power', 'eng']",set(),N
552,Soc.,['soc'],set(),N
553,"Gen. Meeting, Tampa, FL, Jun.","['meet', 'tampa', 'fl', 'jun']",set(),N
554,"24ñ28, 2007, pp.",['pp'],set(),N
555,1ñ8.,[],set(),N
556,"[23] T. D. Nelson, ìMitigations for security vulnerabilities found in control system networks,î in Proc.","['nelson', 'mitig', 'secur', 'vulner', 'found', 'control', 'system', 'network', 'proc']","{'secur', 'control', 'network'}",Y
557,16th Annu.,['annu'],set(),N
558,Joint ISA POWID/EPRI Controls Instrum.,"['joint', 'isa', 'control', 'instrum']",{'control'},Y
559,"Conf., 2006, pp.",['pp'],set(),N
560,1ñ12.,[],set(),N
561,[24] C.-W.,[],set(),N
562,"Ten, G. Manimaran, and C.-C. Liu, ìCybersecurity for electric power control and automation systems,î in Proc.","['ten', 'manimaran', 'liu', 'cybersecur', 'electr', 'power', 'control', 'autom', 'system', 'proc']","{'control', 'cybersecur'}",Y
563,"eNetworks Cyberengi- neering Workshop, IEEE-SMC, Montreal, QC, Canada, Oct. 7ñ10, 2007, pp.","['enetwork', 'neer', 'workshop', 'montreal', 'qc', 'canada', 'pp']",set(),N
564,29ñ34.,[],set(),N
565,7.,[],set(),N
566,Scenario  Fig.,"['scenario', 'fig']",set(),N
567,countermeasures.,['countermeasur'],set(),N
568,vulnerability with  implemented  and  improved  intrusion scenario is the product of attack leaves.,"['vulner', 'implement', 'improv', 'intrus', 'scenario', 'product', 'attack', 'leav']",{'implement'},Y
569,The scenario vulnerability is shown in Fig.,"['scenario', 'vulner', 'shown', 'fig']",set(),N
570,7.,[],set(),N
571,Note that a logarithmic scale (cid:8)(I).,"['note', 'logarithm', 'scale']",set(),N
572,is used to highlight the difference between V (I) and V The improvement of i1 is 92.11%.,"['use', 'highlight', 'differ', 'v', 'v', 'improv']",set(),N
573,The remaining values are close to 100%.,"['remain', 'valu', 'close']",set(),N
574,The system vulnerability has been improved from 0.0306 to 0.0024.,"['system', 'vulner', 'improv']",set(),N
575,VI.,['vi'],set(),N
576,CONCLUSION AND FUTURE WORK  Cybersecurity for critical infrastructures is an emerging area that requires extensive new research.,"['conclus', 'futur', 'work', 'cybersecur', 'critic', 'infrastructur', 'emerg', 'area', 'requir', 'extens', 'new', 'research']","{'work', 'cybersecur', 'requir'}",Y
577,The comprehensive liter- ature survey reported in this paper has identi?ed the lack of re- search in some areas.,"['comprehens', 'atur', 'survey', 'report', 'paper', 'identi', 'ed', 'lack', 'search', 'area']",set(),N
578,"New research needs to be done in each of the components of the RAIM framework, such as the following: 1) SCADA-system-speci?c real-time correlation and intrusion detection algorithms; 2) online risk monitoring and mitigation algorithms capturing both cyber system vulnerabilities and the resulting consequences; 3) advanced modeling techniques that capture the dynamic nature of the attacker behavior, as well as the system behavior; and 4) advanced modeling that accounts for impacts such as load loss, loss due to equipment damage, and economic loss.","['new', 'research', 'need', 'done', 'compon', 'raim', 'framework', 'follow', 'c', 'correl', 'intrus', 'detect', 'algorithm', 'onlin', 'risk', 'monitor', 'mitig', 'algorithm', 'captur', 'cyber', 'system', 'vulner', 'result', 'consequ', 'advanc', 'model', 'techniqu', 'captur', 'dynam', 'natur', 'attack', 'behavior', 'well', 'system', 'behavior', 'advanc', 'model', 'account', 'impact', 'load', 'loss', 'loss', 'due', 'equip', 'damag', 'econom', 'loss']",{'cyber'},Y
579,"Vulnerability assessment can be performed periodically, and the validation of the proposed framework can be conducted through test-bed development.","['vulner', 'assess', 'perform', 'period', 'valid', 'propos', 'framework', 'conduct', 'develop']",{'develop'},Y
580,"For instance, the components include instrumenting logs (both power equip- ment logs and computer system logs), real-time monitoring of logs, event correlations and hypothesis formation, what- if impact analysis, and proactive/mitigation countermeasures to restore a power system.","['instanc', 'compon', 'includ', 'instrument', 'log', 'power', 'ment', 'log', 'comput', 'system', 'log', 'monitor', 'log', 'event', 'correl', 'hypothesi', 'format', 'impact', 'analysi', 'countermeasur', 'restor', 'power', 'system']",{'includ'},Y
581,The proposed methodology using attack trees provides a simpli?ed way to hypothetically eval- uate the system vulnerability level.,"['propos', 'methodolog', 'use', 'attack', 'tree', 'provid', 'simpli', 'ed', 'way', 'hypothet', 'uat', 'system', 'vulner', 'level']",set(),N
582,This paper can be further extended by considering the reduction of system vulnerability within a budgetary limit.,"['paper', 'extend', 'consid', 'reduct', 'system', 'vulner', 'within', 'budgetari', 'limit']",set(),N
583,Ef?cient delivery of information from substations or control centers may be needed to help power system dispatchers identify critical messages quickly.,"['ef', 'cient', 'deliveri', 'inform', 'substat', 'control', 'center', 'may', 'need', 'help', 'power', 'system', 'dispatch', 'identifi', 'critic', 'messag', 'quickli']","{'control', 'inform'}",Y
584,"Various techniques for visualization of the system health, in terms of vulnerability level and other critical information, are desirable.","['variou', 'techniqu', 'visual', 'system', 'health', 'term', 'vulner', 'level', 'critic', 'inform', 'desir']",{'inform'},Y
585,"864  IEEE TRANSACTIONS ON SYSTEMS, MAN, AND CYBERNETICSóPART A: SYSTEMS AND HUMANS, VOL.","['ieee', 'transact', 'system', 'man', 'system', 'human', 'vol']",set(),N
586,"40, NO.",[],set(),N
587,"4, JULY 2010  [25] M. Naedele, D. Dzung, and M. Stanimirov, ìNetwork security for sub- station automation systems,î in SAFECOMP, U. Voges, Ed.","['juli', 'naedel', 'dzung', 'stanimirov', 'network', 'secur', 'station', 'autom', 'system', 'safecomp', 'voge', 'ed']","{'secur', 'network'}",Y
588,"Berlin, Germany: Springer-Verlag, 2001, pp.","['berlin', 'germani', 'pp']",set(),N
589,25ñ34.,[],set(),N
590,"[26] T. S. Sidhu and Y. Yin, ìModeling and simulation for performance evalua- tion of IEC61850-based substation communication systems,î IEEE Trans.","['sidhu', 'yin', 'model', 'simul', 'perform', 'tion', 'substat', 'commun', 'system', 'ieee', 'tran']",set(),N
591,"Power Del., vol.","['power', 'vol']",set(),N
592,"22, no.",[],set(),N
593,"3, pp.",['pp'],set(),N
594,"1482ñ1489, Jul.",['jul'],set(),N
595,2007.,[],set(),N
596,"[27] P. Baybutt, ìCybersecurity risk analysis for process control systems using rings of protection analysis (ROPA),î Process Safety Progr., vol.","['baybutt', 'cybersecur', 'risk', 'analysi', 'process', 'control', 'system', 'use', 'ring', 'protect', 'analysi', 'ropa', 'process', 'safeti', 'vol']","{'control', 'cybersecur'}",Y
597,"23, no.",[],set(),N
598,"4, pp.",['pp'],set(),N
599,"284ñ290, Dec. 2004, PrimaTech Tech.","['primatech', 'tech']",set(),N
600,"Rep.  [28] N. Ye, J. Giordano, and J. Feldman, ìA process control approach to cyber  attack detection,î Commun.","['ye', 'giordano', 'feldman', 'process', 'control', 'approach', 'cyber', 'attack', 'detect', 'commun']","{'control', 'cyber'}",Y
601,"ACM, vol.","['acm', 'vol']",set(),N
602,"44, no.",[],set(),N
603,"8, pp.",['pp'],set(),N
604,"76ñ82, Aug. 2001.",[],set(),N
605,"[29] J.-W. Park and J.-M. Lee, ìTransmission modeling and simulation for Internet-based control,î in Proc.","['park', 'lee', 'transmiss', 'model', 'simul', 'control', 'proc']",{'control'},Y
606,"IEEE 27th IECON, Nov. 2001, pp.","['ieee', 'iecon', 'pp']",set(),N
607,165ñ169.,[],set(),N
608,"[30] A. Miller, ìTrends in process control systems security,î IEEE Secur.","['miller', 'trend', 'process', 'control', 'system', 'secur', 'ieee', 'secur']","{'secur', 'control'}",Y
609,"Privacy, vol.","['privaci', 'vol']",set(),N
610,"3, no.",[],set(),N
611,"5, pp.",['pp'],set(),N
612,"57ñ60, Sep. 2005.",[],set(),N
613,"[31] C. DeMarco and Y. Braden, ìThreats to electric power grid security through hacking of networked generation control,î in Proc.","['demarco', 'braden', 'threat', 'electr', 'power', 'grid', 'secur', 'hack', 'network', 'gener', 'control', 'proc']","{'secur', 'control', 'network'}",Y
614,"3rd CRIS, Alexandria, VA, Sep. 2006.","['cri', 'alexandria', 'va']",set(),N
615,"[32] X. Wu, D. Zhang, and K. Wang, ìPalm line extraction and matching for personal authentication,î IEEE Trans.","['wu', 'zhang', 'wang', 'palm', 'line', 'extract', 'match', 'person', 'authent', 'ieee', 'tran']",set(),N
616,"Syst., Man, Cybern.","['man', 'cybern']",set(),N
617,"A, Syst., Humans, vol.","['human', 'vol']",set(),N
618,"36, no.",[],set(),N
619,"5, pp.",['pp'],set(),N
620,"978ñ987, Sep. 2006.",[],set(),N
621,"[33] S. A. Klein and J. N. Menendez, ìInformation security considerations in open system architectures,î IEEE Trans.","['klein', 'menendez', 'inform', 'secur', 'consider', 'open', 'system', 'architectur', 'ieee', 'tran']","{'secur', 'inform'}",Y
622,"Power Syst., vol.","['power', 'vol']",set(),N
623,"8, no.",[],set(),N
624,"1, pp.",['pp'],set(),N
625,"224ñ230, Feb. 1993.",[],set(),N
626,"[34] G. N. Ericsson and A. Torkilseng, ìManagement of information se- curity for an electric power utilityóOn security domains and use of ISO/IEC17799 standard,î IEEE Trans.","['ericsson', 'torkilseng', 'manag', 'inform', 'curiti', 'electr', 'power', 'secur', 'domain', 'use', 'standard', 'ieee', 'tran']","{'secur', 'manag', 'inform', 'standard'}",Y
627,"Power Del., vol.","['power', 'vol']",set(),N
628,"20, no.",[],set(),N
629,"2, pp.",['pp'],set(),N
630,"683ñ690, Apr.",['apr'],set(),N
631,2005.,[],set(),N
632,[35] T.-Y.,[],set(),N
633,"Chen, Y.-M. Chen, and C.-B.","['chen', 'chen']",set(),N
634,"Wang, ìA formal virtual enterprise access control model,î IEEE Trans.","['wang', 'formal', 'virtual', 'enterpris', 'access', 'control', 'model', 'ieee', 'tran']","{'control', 'access'}",Y
635,"Syst., Man, Cybern.","['man', 'cybern']",set(),N
636,"A, Syst., Humans, vol.","['human', 'vol']",set(),N
637,"38, no.",[],set(),N
638,"4, pp.",['pp'],set(),N
639,"832ñ851, Jul.",['jul'],set(),N
640,2008.,[],set(),N
641,"[36] T. Brown, ìSecurity in SCADA systems: How to handle the growing menace to process automation,î IEE Comput.","['brown', 'secur', 'scada', 'system', 'handl', 'grow', 'menac', 'process', 'autom', 'iee', 'comput']",{'secur'},Y
642,"Control Eng., vol.","['control', 'vol']",{'control'},Y
643,"16, no.",[],set(),N
644,"3, pp.",['pp'],set(),N
645,"42ñ47, Jun.",['jun'],set(),N
646,2005.,[],set(),N
647,"[37] F. Sheldon, S. Batsell, S. Prowell, and M. Langston, ìAssessment and remediation of vulnerabilities in the SCADA and process control systems of utilities,î Internet Security Systems (white paper), 2005.","['sheldon', 'batsel', 'prowel', 'langston', 'assess', 'remedi', 'vulner', 'scada', 'process', 'control', 'system', 'util', 'internet', 'secur', 'system', 'white', 'paper']","{'internet', 'secur', 'control'}",Y
648,"[38] F. Cleveland, ìIEC TC57 security standards for power systemís infor- mation infrastructureóBeyond simple encryption,î in Proc.","['cleveland', 'iec', 'secur', 'standard', 'power', 'system', 'mation', 'simpl', 'encrypt', 'proc']","{'secur', 'standard'}",Y
649,IEEE Power Eng.,"['ieee', 'power', 'eng']",set(),N
650,Soc.,['soc'],set(),N
651,"Gen. Meeting, Tampa, FL, Jun.","['meet', 'tampa', 'fl', 'jun']",set(),N
652,"24ñ28, 2007, pp.",['pp'],set(),N
653,1079ñ1087.,[],set(),N
654,"[39] Z. Xie, G. Manimaran, V. Vittal, A. G. Phadke, and V. Centeno, ìAn infor- mation architecture for future power system and its reliability analysis,î IEEE Trans.","['xie', 'manimaran', 'vittal', 'phadk', 'centeno', 'mation', 'architectur', 'futur', 'power', 'system', 'reliabl', 'analysi', 'ieee', 'tran']",set(),N
655,"Power Syst., vol.","['power', 'vol']",set(),N
656,"17, no.",[],set(),N
657,"3, pp.",['pp'],set(),N
658,"857ñ863, Aug. 2002.",[],set(),N
659,"[40] C. H. Hauser, D. E. Bakken, and A. Bose, ìA failure to communicate,î  IEEE Power Energy Mag., vol.","['hauser', 'bakken', 'bose', 'failur', 'commun', 'ieee', 'power', 'energi', 'vol']",set(),N
660,"3, no.",[],set(),N
661,"2, pp.",['pp'],set(),N
662,"47ñ55, Mar./Apr.",[],set(),N
663,2005.,[],set(),N
664,"[41] Attack  trends, Carnegie Mellon Comput.","['attack', 'trend', 'carnegi', 'mellon', 'comput']",set(),N
665,"Emergency Response Team/Center Coordination (CERT/CC), Pittsburgh, PA, 2002.","['emerg', 'respons', 'coordin', 'pittsburgh', 'pa']",set(),N
666,[Online].,['onlin'],set(),N
667,"Available: http://www.cert.org/archive/pdf/attack_trends.pdf  [42] S. McClure, J. Scambray, and G. Kurtz, Hacking Exposed: Network Secu-  rity Secrets and Solutions, 4th ed.","['avail', 'http', 'mcclure', 'scambray', 'kurtz', 'hack', 'expos', 'network', 'riti', 'secret', 'solut', 'ed']",{'network'},Y
668,"New York: McGraw-Hill, 2003.","['new', 'york']",set(),N
669,"[43] M. Amin, ìNorth Americaís electricity infrastructure: Are we ready for more perfect storms?î IEEE Secur.","['amin', 'north', 'america', 'electr', 'infrastructur', 'readi', 'perfect', 'storm', 'ieee', 'secur']",{'secur'},Y
670,"Privacy, vol.","['privaci', 'vol']",set(),N
671,"1, no.",[],set(),N
672,"5, pp.",['pp'],set(),N
673,"19ñ25, Sep./Oct.",[],set(),N
674,2003.,[],set(),N
675,"[44] R. Richardson, ì2007 CSI computer crime and security survey,î in Proc.","['richardson', 'csi', 'comput', 'crime', 'secur', 'survey', 'proc']",{'secur'},Y
676,12th Annu.,['annu'],set(),N
677,Comput.,['comput'],set(),N
678,"Crime Security Survey, 2007, pp.","['crime', 'secur', 'survey', 'pp']",{'secur'},Y
679,1ñ28.,[],set(),N
680,"[45] E. Goetz, ìCybersecurity of the electric power industry,î in Report of Investigative Research for Infrastructure Assurance (IRIA).","['goetz', 'cybersecur', 'electr', 'power', 'industri', 'report', 'investig', 'research', 'infrastructur', 'assur', 'iria']","{'industri', 'cybersecur'}",Y
681,"Hanover, NH: Inst.","['hanov', 'nh', 'inst']",set(),N
682,Security Technol.,"['secur', 'technol']",{'secur'},Y
683,"Studies, Dartmouth College, Dec. 2002.","['studi', 'dartmouth', 'colleg']",set(),N
684,"[46] F. Sheldon, S. Batsell, S. Prowell, and M. Langston, Control Systems Cybersecurity Awareness.","['sheldon', 'batsel', 'prowel', 'langston', 'control', 'system', 'cybersecur', 'awar']","{'control', 'cybersecur'}",Y
685,Washington DC: U.S. Comput.,"['washington', 'dc', 'comput']",set(),N
686,"Emergency Readiness Team (CERT), Jul.","['emerg', 'readi', 'team', 'cert', 'jul']",set(),N
687,"25, 2005, pp.",['pp'],set(),N
688,1ñ10.,[],set(),N
689,"[47] J. Tang, R. Hovsapian, M. Sloderbeck, J. Langston, R. Meeker, P. McLaren, D. Becker, B. Richardson, M. Baca, J. Trent, Z. Hartley, R. Parks, and S. Smith, ìThe CAPS-SNL power system security test bed,î in Proc.","['tang', 'hovsapian', 'sloderbeck', 'langston', 'meeker', 'mclaren', 'becker', 'richardson', 'baca', 'trent', 'hartley', 'park', 'smith', 'power', 'system', 'secur', 'test', 'bed', 'proc']",{'secur'},Y
690,"3rd CRIS, Alexandria, VA, Sep. 2006.","['cri', 'alexandria', 'va']",set(),N
691,"[48] G. Dondossola, F. Garrone, J. Szanto, and G. Fiorenza, ìEmerging in- formation technology scenarios for the control and management of the distribution grid,î in Proc.","['dondossola', 'garron', 'szanto', 'fiorenza', 'emerg', 'format', 'technolog', 'scenario', 'control', 'manag', 'distribut', 'grid', 'proc']","{'manag', 'control', 'technolog'}",Y
692,19th Int.,['int'],set(),N
693,Conf.,['conf'],set(),N
694,Exhib.,['exhib'],set(),N
695,Elect.,['elect'],set(),N
696,"Distrib., Vienna, Austria, Mar.","['vienna', 'austria', 'mar']",set(),N
697,"21ñ24, 2007.",[],set(),N
698,"[49] J. M. Weiss, ìControl systems cybersecurityñmaintaining the reliability of the critical infrastructure,î Testimony of Joseph M. Weiss Control Systems Cybersecurity Expert before the House Government Reform Committeeís Subcommittee on Technology, Information Policy, Inter- governmental Relations, and the Census U.S. House of Representatives, Mar.","['weiss', 'control', 'system', 'reliabl', 'critic', 'infrastructur', 'testimoni', 'joseph', 'weiss', 'control', 'system', 'cybersecur', 'expert', 'hous', 'govern', 'reform', 'committe', 'subcommitte', 'technolog', 'inform', 'polici', 'government', 'relat', 'censu', 'hous', 'repres', 'mar']","{'technolog', 'control', 'inform', 'cybersecur'}",Y
699,"30, 2004.",[],set(),N
700,"[50] F. Sheldon, S. Batsell, S. Prowell, and M. Langston, Cryptographic Pro- tection of SCADA CommunicationsóPart 1: Background, Policies and Test Plan.","['sheldon', 'batsel', 'prowel', 'langston', 'cryptograph', 'tection', 'scada', 'background', 'polici', 'test', 'plan']",set(),N
701,"Washington, DC: American Gas Assoc., Sep. 7, 2005.","['washington', 'dc', 'american', 'ga']",set(),N
702,[51] NERC Tech.,"['nerc', 'tech']",set(),N
703,Rep. Cybersecurity Standards.,"['cybersecur', 'standard']","{'cybersecur', 'standard'}",Y
704,[Online].,['onlin'],set(),N
705,"Available:  http://www.nerc.com/?lez/standards/Cyber-Security-Permanent.html  [52] User Manual  for the Workshop, North Amer.","['avail', 'http', 'user', 'manual', 'workshop', 'north', 'amer']",set(),N
706,Electric Rel.,"['electr', 'rel']",set(),N
707,"Coun- cil (NERC), Minneapolis, MN, Sep. 2006.","['cil', 'nerc', 'minneapoli', 'mn']",set(),N
708,"Cybersecurity Standards Workshop  [53] A. Torkilseng and G. Ericsson, ìSome guidelines for developing a frame- work for managing cybersecurity for an electric power utility,î ELECTRA ReportóJWG D2/B3/C2.01, Oct. 2006.","['cybersecur', 'standard', 'workshop', 'torkilseng', 'ericsson', 'guidelin', 'develop', 'work', 'manag', 'cybersecur', 'electr', 'power', 'util', 'electra']","{'work', 'standard', 'manag', 'develop', 'cybersecur'}",Y
709,"[54] D. M. Nicol, W. H. Sanders, and K. S. Trivedi, ìModel-based evaluation from dependability to security,î IEEE Trans.","['nicol', 'sander', 'trivedi', 'evalu', 'depend', 'secur', 'ieee', 'tran']",{'secur'},Y
710,"Dependable Secure Com- put., vol.","['depend', 'secur', 'vol']",{'secur'},Y
711,"1, no.",[],set(),N
712,"1, pp.",['pp'],set(),N
713,"48ñ65, Jan. 2004.",[],set(),N
714,"[55] W. L. McGill and B. M. Ayyub, ìThe meaning of vulnerability in the context of critical infrastructure protection,î in Critical Infrastructure Protection: Elements of Risk.","['mcgill', 'ayyub', 'mean', 'vulner', 'context', 'critic', 'infrastructur', 'protect', 'critic', 'infrastructur', 'protect', 'element', 'risk']",set(),N
715,"Arlington, VA: School of Laws, George Mason Univ., Dec. 2007.","['arlington', 'va', 'school', 'law', 'georg', 'mason']",set(),N
716,"[56] J. Depoy, J. Phelan, P. Sholander, B. Smith, G. Varnado, and G. Wyss, ìRisk assessment for physical and cyber-attacks on critical infrastruc- tures,î in Proc.","['depoy', 'phelan', 'sholand', 'smith', 'varnado', 'wyss', 'risk', 'assess', 'physic', 'critic', 'ture', 'proc']",set(),N
717,"IEEE MILCOM, Oct. 17ñ20, 2005, vol.","['ieee', 'milcom', 'vol']",set(),N
718,"3, pp.",['pp'],set(),N
719,1961ñ1969.,[],set(),N
720,"[57] S. Kumar, ìClassi?cation and detection of computer intrusions,î Ph.D. dissertation, Dept.","['kumar', 'classi', 'cation', 'detect', 'comput', 'intrus', 'dissert', 'dept']",set(),N
721,Comput.,['comput'],set(),N
722,"Sci., Purdue Univ., West Lafayette, IN, Aug. 1995.","['purdu', 'west', 'lafayett']",set(),N
723,"[58] Y. Xie, ìA spatiotemporal event correlation approach to computer secu- rity,î Ph.D. dissertation, School Comput.","['xie', 'spatiotempor', 'event', 'correl', 'approach', 'comput', 'riti', 'dissert', 'school', 'comput']",set(),N
724,"Sci., Carnegie Mellon Univ., Pittsburgh, PA, Aug. 2005, (CMU-CS-05-175).","['carnegi', 'mellon', 'pittsburgh', 'pa']",set(),N
725,[59] K. Lye and J.,"['lye', 'j']",set(),N
726,"Wing, ìGame strategies in network security,î in Proc.","['wing', 'game', 'strategi', 'network', 'secur', 'proc']","{'secur', 'network'}",Y
727,Work- shop Foundations Comput.,"['shop', 'foundat', 'comput']",set(),N
728,"Secur., Copenhagen, Denmark, 2002, pp.","['copenhagen', 'denmark', 'pp']",set(),N
729,1ñ2.,[],set(),N
730,"[60] F. Sheldon, T. Potok, A. Krings, and P. Oman, ìCritical energy infrastruc- ture survivability, inherent limitations, obstacles, and mitigation strate- gies,î Int.","['sheldon', 'potok', 'kring', 'oman', 'critic', 'energi', 'ture', 'surviv', 'inher', 'limit', 'obstacl', 'mitig', 'gie', 'int']",set(),N
